name,genre,age_group,runtime,country,director,cast,description,released,popular
23:59,"Horror Movies, International Movies",Young Adults,78,Singapore,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",2011,3
9,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",Teens,80,United States,Shane Acker,,,2009,1
21,Dramas,Teens,123,United States,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo",,2008,1
122,"Horror Movies, International Movies",Adults,95,Egypt,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape Ã¢ÂÂ before death finds them.",2019,5
187,Dramas,Young Adults,119,United States,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana","After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",1997,2
706,"Horror Movies, International Movies",Young Adults,118,India,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",2019,5
1920,"Horror Movies, International Movies, Thrillers",Adults,143,India,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Anjori Alagh, Rajendranath Zutshi",,2008,3
1922,"Dramas, Thrillers",Adults,103,United States,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",2017,2
2215,"Documentaries, International Movies, Sports Movies",Adults,89,Thailand,Nottapon Boonprakob,Artiwara Kongmalai,"This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",2018,1
3022,"Independent Movies, Sci-Fi & Fantasy, Thrillers",Young Adults,91,United States,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",2019,5
01-àå÷,"Dramas, International Movies, Thrillers",Young Adults,149,Nigeria,Kunle Afolayan,"Femi Adebayo, Ademola Adedoyin, Kayode Aderupoko, Kunle Afolayan",,2014,1
22-éåì,"Dramas, Thrillers",Young Adults,144,"Norway, Iceland, United States",Paul Greengrass,"Anders Danielsen Lie, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, ThorbjÃÂ¸rn Harr, Jaden Smith","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",2018,3
'89,Sports Movies,Teens,87,United Kingdom,,"Lee Dixon, Ian Wright, Paul Merson","Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",2017,4
Kuch Bheege Alfaaz,"Dramas, Independent Movies, International Movies",Young Adults,110,India,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan","After accidentally connecting over the Internet, two strangers form a tight friendship Ã¢ÂÂ not knowing they already share a bond.",2018,2
Goli Soda 2,"Action & Adventure, Dramas, International Movies",Young Adults,128,India,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.",2018,2
Maj Rati Keteki,"Dramas, International Movies",Young Adults,117,India,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.",2017,5
Mayurakshi,"Dramas, International Movies",Young Adults,100,India,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.",2017,2
(T)ERROR,Documentaries,Unknown,84,United States,"Lyric R. Cabral, David Felix Sutcliffe",,,2015,2
#Alive,"Horror Movies, International Movies, Thrillers",Adults,99,South Korea,Cho Il,"Yoo Ah-in, Park Shin-hye","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",2020,4
#AnneFrank - Parallel Stories,"Documentaries, International Movies",Young Adults,95,Italy,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",2019,3
#cats_the_mewvie,"Documentaries, International Movies",Young Adults,90,Canada,Michael Margolis,,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",2020,1
#FriendButMarried,"Dramas, International Movies, Romantic Movies",Kids,102,Indonesia,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",2018,1
#FriendButMarried 2,"Dramas, International Movies, Romantic Movies",Kids,104,Indonesia,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",2020,5
#realityhigh,Comedies,Young Adults,99,United States,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis","When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",2017,3
#Roxy,"Comedies, Romantic Movies",Young Adults,105,Canada,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",A teenage hacker with a huge nose helps a cool kid woo a girl that heÃ¢ÂÂs secretly in love with.,2018,3
#Rucker50,"Documentaries, Sports Movies",Teens,56,United States,Robert McCullough Jr.,,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,2016,4
#Selfie,"Comedies, Dramas, International Movies",Adults,125,Romania,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",2014,5
#Selfie 69,"Comedies, Dramas, International Movies",Adults,119,Romania,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",2016,4
"Ay, mi madre!","Comedies, International Movies",Adults,81,Spain,Frank Ariza,"EstefanÃÂ­a de los Santos, Secun de la Rosa, Terele PÃÂ¡vez, MarÃÂ­a Alfonsa Rosso, Mariola Fuentes, Alfonso SÃÂ¡nchez, Paz Vega, Marta TornÃÂ©, Concha GalÃÂ¡n","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",2019,3
